name,roll,branch,start_year,current_courses,previous_courses_with_grades
Diya Desai,200037,ECE,2020,301;OOPS;101;NLP,DBMS|8.7;301|9.6;202|7.3;OOPS|8.2;402|8.1;SE|8.0
Ritika Kumar,200038,BT,2022,CNTR;ML;ML;401;302;102,DBMS|5.8;301|6.3;102|8.8;202|9.4;CN|5.8;101|9.6;501|9.8
Aditi Desai,200039,BT,2020,302;101;502,DSA|5.5;101|6.4;501|7.1;CN|7.1;502|7.7;NLP|8.7;DSA|6.4;302|8.1
Diya Reddy,Maths2023-040,ECE,2021,501;401;202,101|7.0;401|7.2;101|9.8;AI|6.4;CNTR|5.7;201|9.5;CNTR|9.0
Ritika Verma,200041,Maths,2021,301;101;502,101|7.0;NLP|6.7;ML|8.2;301|6.5;DBMS|7.5;NLP|7.4
Sai Desai,200042,BT,2022,ML;CN;401,501|9.8;ML|5.1;201|7.9;401|9.7;OOPS|5.4
Sai Malhotra,200043,CSE,2020,102;NLP;ML;ML;502,AI|10.0;AI|8.0;401|9.3;OOPS|7.6;501|6.6
Ishaan Rao,200044,ECE,2021,NLP;102;202,SE|8.7;CNTR|9.9;301|9.2;201|8.2;AI|8.6
Kavya Rao,EE2019-045,ME,2021,DBMS;DBMS;ML;402;502,NLP|5.6;AI|9.5;201|7.9;402|9.7;302|5.2;501|7.2
Sai Iyer,200046,CSE,2023,DBMS;CNTR;401,DBMS|6.6;NLP|8.5;DBMS|8.2;DBMS|8.7;SE|8.9;301|8.3;202|6.1;SE|8.1;302|5.6
Vivaan Kapoor,BT2022-047,Maths,2021,DBMS;502;201;301;OOPS;CNTR,402|8.7;DBMS|6.3;102|8.9;NLP|7.3;502|7.0;CNTR|6.0;401|9.5;201|6.2
Sakshi Chowdhury,200048,EE,2022,102;102;DSA;201;AI;401,101|5.5;302|8.8;AI|7.8;CNTR|8.6;401|6.1;SE|5.6
Arjun Saxena,200049,Physics,2019,101;301;CN;302;201;CNTR,OOPS|9.8;502|8.4;302|6.7;502|8.9;ML|9.5;202|5.6;202|7.1
Tanvi Khan,200050,Maths,2020,502;SE;DSA;402;101,OOPS|5.6;401|7.7;OOPS|6.9;DBMS|6.8;CNTR|8.0;102|6.6;402|6.2;ML|7.7
Vivaan Saxena,200051,Maths,2021,DSA;302;OOPS;102,CNTR|8.9;OOPS|7.7;201|5.4;DBMS|8.4;101|5.2;102|8.0;301|7.0;SE|6.8
Rohan Agarwal,200052,CSE,2020,ML;DBMS;202;201,NLP|7.7;DBMS|8.0;DBMS|8.6;NLP|6.2;SE|5.4;DSA|8.9;CNTR|8.8;OOPS|8.4;SE|8.6;201|7.4
Vihaan Agarwal,200053,CE,2020,502;201;502;302,CNTR|9.8;SE|9.9;202|7.6;DBMS|6.6;AI|5.9;401|8.7;DBMS|8.1;DBMS|7.4
Aditya Saxena,CSE2019-054,CE,2020,OS;OS;DBMS,AI|6.7;AI|7.6;402|8.2;CN|7.5;301|9.7;OS|5.8;DSA|5.1;DSA|5.1
Ritika Singh,CE2020-055,EE,2019,SE;502;202;DBMS,402|8.6;501|5.9;302|9.2;AI|7.8;202|8.3;CNTR|9.5;DSA|8.9;OOPS|8.2;201|7.9;401|6.0
Sakshi Sharma,ECE2021-056,BT,2022,AI;501;401,NLP|5.2;NLP|8.9;102|7.9;102|5.2;CN|5.5;501|6.6;OOPS|8.4;ML|9.9;401|8.1;CN|8.3
Vivaan Kapoor,200057,Maths,2023,CNTR;401;402;AI;DBMS;DSA,401|5.6;AI|6.6;202|7.4;102|9.8;AI|7.2;101|9.4;AI|10.0;CNTR|9.5;ML|9.3;502|9.4
Ananya Reddy,200058,ECE,2019,502;202;DSA;502,DBMS|5.5;CNTR|5.2;101|9.5;AI|5.1;DSA|5.0
Ananya Mehta,200059,Physics,2021,DSA;302;102;402;AI;201,302|5.0;CNTR|6.2;502|9.0;102|6.6;301|6.8;OS|8.8;OS|5.2;NLP|5.7;501|7.9;SE|5.4
Arjun Agarwal,200060,ME,2022,NLP;OOPS;302,101|7.8;402|7.7;OS|7.5;202|5.2;SE|8.5;SE|7.3;502|8.1
Tanvi Kumar,200061,ECE,2023,CNTR;AI;401;OS;OS;202,CNTR|5.1;202|5.5;CN|5.1;402|9.8;DBMS|9.2;302|9.5;DBMS|8.4;AI|9.3;401|5.8
Krishna Kapoor,200062,Physics,2022,AI;101;202;101,AI|9.7;301|6.3;CN|5.4;DSA|8.9;CNTR|8.6;101|6.0;OOPS|9.7;DSA|5.4
Vihaan Singh,200063,Maths,2022,ML;102;NLP;502;DSA;OS,OS|8.5;DSA|6.7;CNTR|5.0;301|5.4;501|9.0;SE|9.2;301|5.9;SE|9.6
Aditi Sharma,200064,EE,2022,OS;OS;301;402,OS|5.2;202|7.7;AI|5.8;ML|8.3;201|8.0;201|6.9;DBMS|6.6
Aditi Mehta,200065,ECE,2019,DSA;402;AI,301|5.9;101|7.5;301|6.6;301|6.4;502|8.4;101|9.0;CNTR|9.7;CN|8.9;OOPS|8.0
Arjun Singh,200066,Maths,2023,301;202;OS;DBMS;502,202|5.5;302|9.3;OOPS|5.3;OOPS|5.5;DSA|8.1
Aarav Patel,200067,EE,2019,AI;OOPS;OOPS,OS|5.4;302|8.4;OS|9.6;302|9.7;DBMS|8.5;302|7.0;301|7.1;NLP|6.5
Isha Saxena,200068,ECE,2019,ML;502;301,OS|7.7;SE|6.6;SE|9.3;DSA|8.6;302|9.3;NLP|5.8;502|6.4;OS|9.1;CNTR|7.1;502|5.1
Arjun Desai,ECE2021-069,BT,2021,ML;DSA;OOPS;ML;SE,402|8.0;CNTR|7.8;AI|7.1;DSA|8.5;DBMS|6.2
Diya Verma,200070,CSE,2020,DBMS;SE;DSA;501,301|6.3;CNTR|8.8;102|7.7;501|9.6;501|6.9;OOPS|9.1;NLP|5.3;502|5.2;CNTR|9.2;402|6.9
Sakshi Jain,CSE2020-071,CSE,2021,SE;202;OOPS;NLP,301|5.7;201|8.5;501|5.1;101|8.8;ML|5.4;301|5.2;301|7.6;DSA|6.0
Vihaan Malhotra,EE2020-072,ECE,2023,502;DBMS;201;401,AI|6.6;502|6.5;102|7.2;CNTR|7.0;401|5.5;202|9.5;401|8.4
Priya Kumar,200073,ECE,2023,NLP;502;CN;CN;CNTR,DBMS|5.6;501|6.8;102|9.2;CNTR|5.2;ML|6.1;DBMS|5.7
Arjun Bose,200074,CSE,2023,SE;DBMS;AI;ML;502,401|8.0;402|7.7;SE|9.4;302|7.9;302|5.2;SE|7.5;CN|6.1
Aditya Desai,200075,EE,2021,ML;OOPS;102;AI;NLP;401,102|6.4;302|6.9;AI|8.6;102|9.8;301|8.3;101|7.8;102|5.2
Vivaan Reddy,200076,EE,2019,402;AI;NLP;DSA,AI|5.1;SE|6.7;AI|9.9;101|7.8;402|8.1;101|7.1;501|6.4;NLP|6.2;301|7.2
Krishna Kumar,200077,CE,2023,201;402;501;CNTR,CNTR|8.5;CNTR|9.1;CNTR|7.4;ML|8.9;401|9.1;AI|7.2
Kavya Nair,200078,ME,2023,OS;AI;101,102|8.8;DBMS|6.1;AI|5.2;401|9.4;302|7.6;CNTR|7.1
Aditi Nair,200079,BT,2021,401;OOPS;OOPS;201;202,DSA|8.0;301|9.4;202|5.0;202|6.0;302|7.9;101|5.1;401|8.3
Sakshi Mehta,200080,Physics,2023,102;CN;401;ML;ML,CNTR|5.3;CN|7.5;DSA|7.7;302|6.4;OS|9.5;101|5.5;CN|6.2;NLP|9.6;OS|7.6;NLP|8.5
Krishna Kapoor,CE2019-081,CSE,2021,NLP;DSA;501;401,OOPS|9.0;OOPS|9.0;201|7.9;DBMS|8.5;101|8.0;CN|7.5
Isha Iyer,Physics2021-082,ECE,2020,OOPS;DSA;NLP;302;501,OS|6.2;102|8.4;OOPS|7.0;ML|8.8;CNTR|8.2;202|9.3;401|6.2;CNTR|7.4;402|8.2
Sai Kumar,200083,BT,2021,CN;CN;401,201|8.8;DBMS|5.7;502|7.0;OOPS|7.7;302|6.4;202|7.3;102|7.5
Diya Chowdhury,ECE2020-084,CE,2022,102;101;DBMS;NLP;102,501|7.4;401|6.3;CNTR|7.4;SE|6.6;CN|5.3
Krishna Kapoor,200085,Physics,2020,OS;502;501;201;302,101|8.8;DBMS|8.2;OOPS|6.0;101|8.0;502|5.2;DSA|9.3;CN|9.5
Yash Desai,200086,CE,2023,402;401;101;502;DBMS;NLP,SE|7.8;DSA|9.3;DBMS|6.2;402|5.8;DSA|7.5;401|7.5;501|7.9;402|7.0;502|7.0;102|6.2
Aditi Chowdhury,CE2019-087,ECE,2019,302;302;201;ML;CN;AI,CN|6.2;201|7.9;DBMS|5.8;202|7.0;DSA|7.0;401|5.8;SE|8.5;CN|7.0;SE|7.4
Sai Saxena,200088,CSE,2022,NLP;502;302;201;502;102,AI|6.8;CNTR|9.4;102|6.8;202|9.7;502|5.5;502|7.3;OS|5.5
Vihaan Desai,200089,EE,2023,102;201;OS;AI,ML|9.8;501|9.4;NLP|8.1;401|6.1;502|7.4;301|6.1;AI|7.3;501|6.9
Aarav Bose,200090,Physics,2019,NLP;SE;402;OS;AI,OS|7.8;DBMS|5.5;SE|8.7;NLP|6.3;DBMS|7.0;SE|7.5;501|5.5
Vihaan Rao,CSE2019-091,Maths,2019,OS;ML;302,201|5.9;AI|7.8;402|8.5;102|7.2;101|6.4;DSA|9.3;OOPS|9.9;102|9.8;CN|6.9;302|7.9
Aditi Kumar,ME2021-092,EE,2019,DSA;CN;CN,DBMS|7.9;OS|9.0;301|5.1;501|7.4;AI|9.7;OOPS|9.8
Aarav Agarwal,200093,CE,2020,AI;302;NLP;CNTR;302,502|8.7;CNTR|6.0;201|6.3;CNTR|5.7;SE|5.8;501|5.4;CNTR|7.8
Arjun Verma,Maths2020-094,ME,2022,OOPS;OS;401;502,ML|8.1;501|7.6;102|6.7;201|9.3;302|5.0;202|7.8;ML|9.6
Neha Agarwal,BT2021-095,Maths,2020,202;DSA;AI;201;DBMS;302,OS|6.4;SE|5.9;NLP|7.1;CN|7.6;401|5.0;DSA|7.2;OS|8.0;101|5.9;501|6.2;DSA|7.4
Kavya Kapoor,200096,BT,2022,CN;502;NLP,501|5.2;CNTR|7.7;502|9.9;OS|7.4;401|7.1;OS|7.8;DBMS|5.7;201|8.8;CN|8.6
Krishna Bose,200097,Maths,2023,OS;DSA;301,AI|7.6;ML|8.2;AI|5.6;401|8.8;401|6.7;NLP|9.0;DBMS|8.6
Arjun Reddy,200098,Physics,2022,CN;DSA;DSA;DBMS;CNTR;201,SE|8.3;501|9.4;101|6.8;NLP|7.9;OOPS|7.1;101|7.4;CNTR|6.7;SE|6.9
Aditi Jain,200099,EE,2019,202;SE;CNTR;101,OOPS|5.4;CN|7.5;201|7.8;502|6.5;SE|6.2;DBMS|7.8;501|6.2
Ritika Verma,Maths2019-100,BT,2022,DSA;102;DSA,SE|5.2;NLP|5.2;SE|6.5;501|10.0;NLP|5.9;DBMS|9.6;302|5.7;OS|10.0;NLP|7.6;NLP|7.4
Ananya Sharma,200101,Physics,2021,DBMS;202;402,501|6.8;DSA|7.4;DSA|6.3;202|9.5;302|9.0;202|6.3;OS|5.6;DSA|8.6
Neha Agarwal,CE2021-102,ECE,2022,501;201;402;501,201|7.0;AI|9.5;SE|8.4;202|5.0;102|7.7;OOPS|9.3;501|8.1;CN|9.6;201|8.0;AI|5.0
Ishaan Gupta,CE2019-103,ECE,2020,NLP;201;202,CN|6.3;301|7.6;DSA|5.2;CN|9.4;ML|6.7;202|9.4;201|9.8;OOPS|7.5;101|9.6;OOPS|8.2
Ishaan Desai,Maths2023-104,Maths,2022,DSA;202;OS,DSA|9.6;401|8.3;AI|8.0;OOPS|6.7;201|5.7;CN|6.9;301|8.0;NLP|5.7;OOPS|10.0
Ritika Chowdhury,200105,CSE,2023,501;401;DBMS;AI;AI;301,501|5.8;101|9.6;401|8.2;DSA|8.8;CNTR|9.0;301|7.7
Aarav Patel,200106,CSE,2022,ML;CN;502;201;301,101|8.9;402|7.6;402|8.8;CNTR|8.7;201|5.1;CN|8.5;202|10.0;501|7.8;DBMS|8.7;ML|6.0
Isha Rao,200107,EE,2019,SE;DSA;DBMS;301;ML,CNTR|8.2;202|6.3;DBMS|10.0;501|6.3;OOPS|7.1
Aarav Kapoor,200108,Maths,2020,CN;DBMS;CN;202,101|7.1;CNTR|6.1;401|5.9;OOPS|5.8;OS|9.4;CNTR|9.5
Ananya Reddy,200109,CE,2023,OS;101;OS;AI;101;CN,DBMS|7.4;CNTR|8.9;OS|9.1;OOPS|6.3;401|7.1;101|6.5;101|9.7;OOPS|5.4;502|5.4
Tanvi Patel,200110,CE,2019,NLP;OOPS;502;CN;DBMS;101,401|5.3;AI|6.2;DSA|6.2;301|7.8;302|7.2;402|8.6;DBMS|5.6;DBMS|6.6;402|5.1;402|7.1
Aditi Rao,ME2021-111,CE,2020,401;201;SE;DSA;DSA;SE,301|6.3;302|9.1;DSA|7.5;402|6.0;AI|9.9;DSA|7.8;DBMS|6.7;CN|6.9;OOPS|6.3;301|5.5
Sakshi Sharma,200112,CSE,2023,502;OOPS;ML;502;402,CN|9.7;302|9.2;NLP|5.5;CNTR|8.3;OS|7.6
Ananya Kumar,200113,CE,2023,302;302;502;401,OOPS|9.0;102|6.7;OOPS|9.7;201|6.6;CN|7.2;AI|9.5;ML|6.8;CN|8.4
Yash Mehta,200114,ME,2022,402;DSA;OS;OS;SE;CN,302|6.6;301|8.2;ML|9.3;NLP|5.3;301|7.5;501|6.9;402|8.0;CNTR|9.2;301|6.3
Arjun Kapoor,200115,Physics,2019,OOPS;201;SE;502;OOPS;SE,CNTR|5.1;SE|6.9;302|6.0;SE|7.2;201|6.6;501|8.6;OOPS|8.4
Isha Rao,200116,Physics,2020,CN;402;ML;301;ML;301,302|5.2;201|6.6;102|8.2;OS|8.7;ML|5.1;402|8.7;OOPS|6.0;ML|7.5;OS|7.1
Sai Kumar,200117,ECE,2021,ML;ML;401;NLP;OS;302,AI|8.2;401|7.5;301|9.3;DSA|5.6;OS|8.5;402|9.9
Isha Rao,200118,Physics,2020,302;SE;202;301;201,401|5.9;201|5.6;DSA|6.2;201|9.4;301|9.1;202|5.2;OS|5.9;402|7.2
Yash Sharma,200119,CE,2019,AI;401;DSA,CN|7.6;CNTR|7.0;501|5.3;SE|5.1;SE|7.8;202|7.7;OOPS|9.6;DBMS|6.5;401|8.6;ML|5.7
Ishaan Gupta,200120,ECE,2020,202;302;502;402;201,501|5.5;302|9.7;301|8.8;402|9.6;301|8.0;AI|7.0;102|6.5;CN|6.6;OOPS|6.8;502|8.7
Diya Khan,200121,Maths,2021,201;CNTR;302,SE|5.8;501|9.4;401|8.7;OOPS|8.6;CNTR|5.1;402|9.3;DBMS|5.2;CNTR|7.0;401|6.3
Ritika Desai,CSE2020-122,CE,2023,SE;SE;ML;101;SE;DBMS,202|8.4;202|9.3;DSA|7.2;DBMS|9.2;CN|9.7;502|8.6;201|7.6
Ishaan Kumar,200123,ECE,2019,402;CN;OS;NLP,ML|9.5;DSA|8.9;102|5.5;401|8.6;502|7.8;ML|6.4;202|6.2
Neha Kapoor,200124,ECE,2023,302;102;102;NLP;401,AI|5.3;NLP|5.4;ML|5.5;ML|7.8;NLP|8.9;OS|5.6
Aditi Nair,200125,ECE,2021,OS;CNTR;301,301|7.4;401|9.6;401|7.2;DBMS|8.7;402|6.4;401|7.3;DBMS|5.3;302|6.8
Vihaan Rao,CE2019-126,ECE,2020,OOPS;ML;CN;402;NLP,202|8.0;302|7.8;501|6.1;201|5.1;DBMS|6.1;AI|6.8;201|5.9;201|6.0;OOPS|9.9
Tanvi Verma,200127,Maths,2021,302;OS;201;NLP,OS|9.5;102|6.2;101|9.7;402|9.1;SE|8.7;301|6.8;202|9.8
Sai Rao,200128,CSE,2023,302;ML;501;102;NLP,AI|9.1;NLP|6.3;101|9.1;202|7.1;302|7.6
Ritika Gupta,200129,ECE,2019,OOPS;202;402;AI,301|9.1;502|6.3;OS|7.0;OS|7.0;201|8.2;CN|7.8;101|7.8
Sai Khan,Physics2021-130,ECE,2019,101;OOPS;102;CN;CNTR,202|7.5;ML|7.0;302|7.6;201|7.8;502|9.2;301|6.4;501|5.6
Ishaan Chowdhury,200131,BT,2021,DSA;401;502;ML;NLP;OOPS,CNTR|7.5;DBMS|5.9;202|6.8;501|7.3;401|8.9;OS|7.4;DSA|8.0;202|5.8;102|9.8
Rohan Agarwal,200132,BT,2023,402;102;201;NLP;ML,OOPS|7.6;SE|9.1;CN|9.3;CNTR|5.9;302|8.4
Krishna Singh,200133,Physics,2022,DSA;SE;101,102|5.9;OS|6.2;201|8.6;DSA|9.6;201|5.5;102|8.1;AI|9.4;401|7.0
Neha Verma,CE2022-134,Maths,2022,OS;CN;102;501;302;301,SE|9.8;AI|9.8;401|5.3;OS|6.6;302|7.8;202|9.4
Vihaan Kumar,200135,Maths,2019,201;CN;402,NLP|8.8;502|5.1;CN|9.0;NLP|8.8;202|8.3;102|9.1;102|6.7;CN|8.3
Neha Reddy,200136,ECE,2019,301;201;202;201,401|9.9;CNTR|6.0;401|5.2;202|8.3;DSA|5.2;401|7.7;OOPS|8.3
Yash Kapoor,EE2023-137,EE,2019,AI;DBMS;DBMS;OS,DBMS|6.6;202|9.8;NLP|5.8;101|9.8;ML|5.5;AI|9.6
Ritika Mehta,200138,BT,2020,ML;301;DBMS;402;502;401,NLP|6.3;202|7.5;102|9.3;ML|8.3;OS|6.2;CN|6.3;201|5.1
Sai Saxena,200139,EE,2021,202;402;DSA;202,CNTR|6.2;401|7.7;CN|6.1;302|5.6;SE|6.1;302|8.1
Vihaan Gupta,200140,Maths,2022,501;302;OS;AI,101|7.8;502|5.6;ML|9.6;501|9.7;202|6.6;301|7.1;501|5.1;NLP|5.0;101|8.4
Kavya Nair,200141,BT,2019,CNTR;402;NLP;AI;401;DSA,202|7.1;OS|6.0;202|7.9;301|7.1;NLP|7.0;402|6.7;302|7.4;402|9.4;CNTR|8.3
Sakshi Patel,200142,EE,2021,CN;202;AI,502|5.3;CN|6.6;102|7.7;201|5.1;501|9.1;301|5.1;AI|8.4;DBMS|5.6;101|8.9;AI|8.7
Diya Gupta,Physics2022-143,CE,2020,501;501;201;DBMS;ML,301|9.2;AI|5.5;ML|7.4;DSA|7.2;502|6.7;101|5.1
Sakshi Patel,ME2021-144,Physics,2023,CNTR;CN;SE,DSA|7.6;201|6.8;102|9.6;OS|6.9;501|5.2
Neha Bose,ME2021-145,CSE,2020,502;302;OS;CN,502|9.5;302|6.5;401|8.1;NLP|8.3;202|6.7
Isha Iyer,200146,CE,2021,302;NLP;102,301|7.0;301|9.9;202|7.0;402|6.4;202|6.3;CNTR|8.4;502|7.9;101|8.7;CNTR|7.4;AI|7.0
Priya Iyer,200147,Physics,2020,CN;501;501,CNTR|7.0;DSA|7.9;SE|9.0;302|7.3;OOPS|9.7
Aditya Reddy,EE2023-148,CSE,2023,501;OS;DBMS;402,202|9.7;502|8.0;ML|7.3;CNTR|5.0;202|9.3;102|7.1
Vivaan Saxena,200149,ME,2022,NLP;401;NLP;201,502|7.2;OS|7.2;201|5.5;302|5.9;OS|8.4
Aditya Bose,200150,BT,2023,DBMS;OS;501,OOPS|5.1;CNTR|9.0;101|5.5;ML|7.9;201|5.8;CN|8.3;CNTR|7.3;DBMS|5.1;402|8.4;402|9.0
Arjun Singh,200151,ME,2021,OS;SE;OOPS;101;301;CNTR,CN|6.7;CN|8.0;401|8.8;CN|8.6;101|7.5;102|8.7;401|8.8;301|8.4;402|9.0;202|5.8
Aditya Singh,200152,EE,2020,OS;DSA;502;201,201|9.6;SE|7.5;402|6.6;501|10.0;502|7.9;OOPS|5.6;302|8.1
Vihaan Saxena,200153,Maths,2021,402;DSA;DSA;301;CNTR,DSA|6.7;DBMS|8.1;OS|5.6;OOPS|7.6;OS|6.7;401|8.5
Vihaan Mehta,200154,EE,2019,SE;501;401;ML;DSA;101,NLP|8.9;402|10.0;CNTR|5.2;OOPS|9.8;201|9.0
Ritika Sharma,200155,ME,2022,501;101;201;OS,502|5.2;502|6.7;102|9.3;ML|5.2;ML|9.0;302|8.4;OOPS|5.2
Rohan Desai,200156,ECE,2023,CNTR;102;201;OOPS;OS;101,501|8.6;NLP|6.9;CN|5.9;202|5.6;101|9.6;SE|9.8;201|7.4;102|7.8;202|7.6
Ishaan Desai,EE2021-157,CE,2020,AI;502;AI;301,402|9.2;OOPS|6.0;ML|8.4;CN|5.0;401|8.7
Yash Saxena,200158,CE,2023,CNTR;OS;501,401|9.0;501|8.6;201|5.1;CN|5.5;101|8.3;201|7.2;ML|6.8;DSA|5.3
Sai Jain,200159,ECE,2020,402;DBMS;402;401,102|7.1;DSA|7.5;201|8.3;202|8.0;OOPS|9.9;401|6.3
Tanvi Kapoor,200160,Physics,2020,DBMS;NLP;SE,501|8.2;ML|6.8;CN|5.7;DSA|9.0;SE|7.1
Priya Reddy,200161,EE,2021,OOPS;102;CN;101;102;AI,401|9.9;DBMS|5.5;102|8.5;202|6.3;DBMS|8.2;AI|7.9;ML|9.2;ML|6.0;OS|5.4
Ishaan Mehta,200162,ME,2021,AI;CNTR;OOPS,102|9.6;502|8.4;101|8.9;201|9.4;OS|6.3;501|5.4;SE|6.6;502|8.5
Sakshi Nair,200163,BT,2020,201;102;OOPS;101,AI|7.6;CNTR|6.6;CN|8.6;401|5.5;OS|7.5;ML|8.0
Aditi Jain,200164,BT,2020,102;402;402;AI;201;CNTR,DBMS|9.3;AI|9.6;302|6.2;SE|9.5;NLP|7.6;501|6.0;CNTR|8.9
